referencia,fecha_liquidacion,monto,estado
PX-10069,2026-04-21,23755.70,FALLIDA
PX-11069,2026-06-04,216419.47,OK
PX-10985,2026-04-29,105188.71,OK
PX-99007,2026-05-08,5377.39,OK
PX-10441,2026-05-10,52647.88,OK
PX-11050,2026-06-17,135593.75,OK
PX-10555,2026-05-04,166555.54,OK
PX-10281,2026-04-13,174450.58,OK
PX-10534,2026-04-10,105057.04,FALLIDA
PX-10797,2026-04-29,128664.28,OK
PX-10433,2026-05-02,"23430,33",FALLIDA
PX-10513,2026-04-07,75691.10,OK
PX-10275,2026-06-02,56197.68,OK
PX-11092,2026-06-08,143694.35,OK
PX-10899,2026-05-31,66761.89,OK
PX-10970,2026-05-16,185304.02,OK
PX-10166,2026-05-08,232149.48,OK
PX-10291,2026-06-02,43463.83,OK
PX-10193,2026-06-03,"64703,03",FALLIDA
PX-11022,2026-04-23,"103788,70",OK
PX-10042,2026-06-29,119506.44,OK
PX-11127,2026-06-15,29809.60,OK
PX-10172,2026-05-10,92202.20,FALLIDA
PX-10009,2026-06-09,61127.81,OK
PX-11137,2026-05-26,80378.60,FALLIDA
PX-10364,2026-06-23,222913.67,FALLIDA
PX-10218,2026-04-06,241719.38,OK
PX-10773,2026-04-03,169635.72,OK
PX-10621,2026-05-11,139140.84,OK
PX-11054,2026-04-21,88330.14,FALLIDA
PX-10482,2026-06-06,115112.42,OK
PX-10685,2026-04-30,123463.05,OK
PX-10243,2026-06-17,212049.08,OK
PX-10343,2026-04-06,193528.41,OK
PX-10890,2026-05-18,12434.64,OK
PX-10706,2026-06-01,145506.08,OK
PX-10979,2026-04-29,127011.51,OK
PX-10265,2026-04-29,93373.82,OK
PX-11015,2026-04-04,176557.07,FALLIDA
PX-10818,2026-06-05,100511.81,OK
PX-10757,2026-05-04,"217156,32",OK
PX-11032,2026-05-26,171336.04,OK
PX-10800,2026-05-30,89258.14,OK
PX-10949,2026-05-27,46514.49,OK
PX-10624,2026-04-12,208820.94,OK
PX-10199,2026-04-05,138399.01,OK
PX-10045,2026-04-03,56443.43,FALLIDA
PX-10725,2026-05-03,7166.11,OK
PX-10693,2026-05-27,16914.67,OK
PX-10735,2026-05-29,162661.28,OK
PX-10283,2026-04-12,50318.86,OK
PX-10076,2026-04-04,73695.26,OK
PX-10119,2026-06-13,194641.95,OK
PX-10722,2026-05-15,98077.05,OK
PX-10700,2026-05-09,113848.37,OK
PX-10583,2026-06-17,37269.84,OK
PX-10195,2026-04-30,55070.56,OK
PX-11021,2026-05-10,186978.40,OK
PX-10041,2026-04-28,135881.48,OK
PX-10001,2026-05-10,,OK
PX-10108,2026-05-08,"43382,36",OK
PX-10051,2026-05-28,"101398,08",OK
PX-11012,2026-05-19,49361.10,OK
PX-10670,2026-06-22,48510.47,OK
PX-10174,2026-04-26,82365.35,OK
PX-10273,2026-05-11,176011.49,OK
PX-10058,2026-05-25,152602.91,FALLIDA
PX-10746,2026-06-10,"116180,98",OK
PX-10663,2026-05-18,"28028,87",OK
PX-11116,2026-06-04,35856.25,OK
PX-10391,2026-06-14,56960.73,OK
PX-10335,2026-06-04,177733.01,OK
PX-10858,2026-06-28,140446.66,OK
PX-10965,2026-04-18,85722.16,OK
PX-10705,2026-06-05,124897.65,OK
PX-10552,2026-06-22,114772.77,FALLIDA
PX-10027,2026-04-25,241738.83,OK
PX-10665,2026-05-10,1020.40,OK
PX-10549,2026-05-07,"28450,13",OK
PX-10659,2026-04-13,20945.82,FALLIDA
PX-10106,2026-04-23,125315.46,OK
PX-10114,2026-05-13,"229228,24",OK
PX-10581,2026-05-31,249681.47,OK
PX-11036,2026-04-21,116498.21,OK
PX-10784,2026-06-17,69710.23,OK
PX-10688,2026-05-29,"213538,02",OK
PX-10522,2026-06-22,241894.48,OK
PX-10712,2026-06-23,"216433,80",FALLIDA
PX-10851,2026-04-21,56151.30,OK
PX-10478,2026-06-20,47251.04,FALLIDA
PX-10962,2026-05-02,"187172,98",OK
PX-11144,2026-06-27,"174255,56",OK
PX-11056,2026-04-23,145249.38,OK
PX-10855,2026-06-27,21356.03,OK
PX-10649,2026-05-27,38996.79,OK
PX-10263,2026-04-28,242115.80,OK
PX-10258,2026-05-18,"126604,23",OK
PX-10197,2026-05-07,201638.84,OK
PX-10024,2026-04-20,"220413,34",OK
PX-10060,2026-05-31,176785.48,OK
PX-10310,2026-06-21,"118318,81",OK
PX-10093,2026-06-18,114781.61,OK
PX-10486,2026-06-09,35818.43,OK
PX-10813,2026-06-17,52903.31,FALLIDA
PX-10528,2026-04-22,33776.03,OK
PX-10821,2026-06-23,81478.19,FALLIDA
PX-10657,2026-04-08,31391.35,FALLIDA
PX-10593,2026-06-13,202177.48,FALLIDA
PX-10699,2026-04-19,"73120,45",OK
PX-10185,2026-05-09,"228740,42",FALLIDA
PX-10378,2026-04-06,234636.19,OK
PX-10497,2026-06-24,97700.67,OK
PX-10998,2026-05-03,208663.69,OK
PX-10865,2026-06-28,175672.11,FALLIDA
PX-10755,2026-05-24,183394.04,OK
PX-10938,2026-06-23,65589.84,OK
PX-10264,2026-04-04,24133.96,OK
PX-10409,2026-05-31,236765.90,OK
PX-11134,2026-05-08,249860.00,OK
PX-10332,2026-05-24,68762.17,FALLIDA
PX-10020,2026-04-21,153113.60,OK
PX-10544,2026-06-05,28186.15,OK
PX-10426,2026-06-02,164651.35,OK
PX-10634,2026-04-06,78829.62,OK
PX-10760,2026-06-02,84469.28,OK
PX-10190,2026-05-07,77451.36,FALLIDA
PX-10874,2026-06-27,158571.17,OK
PX-10326,2026-04-17,"221954,69",OK
PX-10853,2026-04-15,237159.15,OK
PX-10769,2026-06-13,"238540,12",OK
PX-10011,2026-05-22,62539.76,OK
PX-10287,2026-06-13,237339.08,FALLIDA
PX-10345,2026-04-28,"29123,13",OK
PX-10245,2026-05-24,190800.12,OK
PX-10173,2026-06-16,19986.63,OK
PX-10370,2026-06-02,125708.33,OK
PX-10229,2026-06-03,177680.52,OK
PX-10680,2026-06-08,"10927,12",FALLIDA
PX-10952,2026-06-06,"186535,65",OK
PX-10422,2026-06-07,"135630,69",OK
PX-10208,2026-04-14,149432.68,FALLIDA
PX-10789,2026-04-16,147412.35,OK
PX-10618,2026-06-27,184157.97,OK
PX-10730,2026-06-29,97959.29,OK
PX-10247,2026-05-25,69728.20,OK
PX-10840,2026-05-01,16797.13,OK
PX-11139,2026-04-03,224012.49,OK
PX-10414,2026-05-24,"249491,88",OK
PX-11046,2026-05-03,209294.90,OK
PX-10632,2026-06-01,"210463,72",OK
PX-10922,2026-04-29,75572.61,FALLIDA
PX-10336,2026-05-24,"219430,57",OK
PX-10577,2026-05-06,213856.95,OK
PX-10371,2026-05-06,90874.62,OK
PX-10839,2026-06-11,119615.36,OK
PX-10812,2026-05-31,108011.43,OK
PX-10001,2026-06-03,38633.91,FALLIDA
PX-10892,2026-06-28,"28145,50",OK
PX-10373,2026-04-17,157570.34,OK
PX-10672,2026-05-02,21619.65,OK
PX-11101,2026-05-26,162782.94,FALLIDA
PX-10539,2026-05-25,113384.12,OK
PX-10942,2026-04-16,48814.58,OK
PX-10729,2026-06-26,44896.09,FALLIDA
PX-10046,2026-04-10,"25924,38",FALLIDA
PX-11018,2026-06-21,78135.55,OK
PX-10151,2026-06-03,241688.31,OK
PX-10196,2026-06-01,133287.02,OK
PX-10984,2026-04-30,199288.17,OK
PX-10568,2026-06-28,211397.38,OK
PX-10146,2026-06-19,210711.24,OK
PX-10861,2026-06-14,105333.94,OK
PX-10754,2026-04-27,2101.87,OK
PX-10947,2026-04-11,"76582,33",OK
PX-10484,2026-04-03,"80559,65",OK
PX-11086,2026-06-15,"172106,34",OK
PX-10820,2026-04-18,160782.07,OK
PX-10323,2026-05-08,227633.98,OK
PX-10121,2026-04-16,68561.43,OK
PX-10003,2026-05-12,N/A,OK
PX-10047,2026-06-12,165549.57,FALLIDA
PX-10040,2026-05-07,"223310,19",OK
PX-10344,2026-05-24,"87676,04",OK
PX-10131,2026-04-25,216516.67,OK
PX-10189,2026-04-16,174058.76,OK
PX-10143,2026-05-26,207932.01,OK
PX-11008,2026-04-22,23288.90,OK
PX-10455,2026-04-09,172121.74,FALLIDA
PX-10115,2026-06-16,161051.57,OK
PX-11115,2026-04-15,32011.66,OK
PX-10838,2026-05-05,185912.12,OK
PX-10465,2026-06-16,155131.63,OK
PX-10122,2026-04-29,"209874,48",OK
PX-10308,2026-05-04,236757.38,OK
PX-10499,2026-05-21,101805.15,OK
PX-10609,2026-06-22,"216677,92",FALLIDA
PX-99013,2026-05-14,46413.91,OK
PX-10955,2026-05-23,224312.55,FALLIDA
PX-10843,2026-05-11,175812.87,OK
PX-10630,2026-06-18,23690.39,FALLIDA
PX-10761,2026-05-17,243838.61,OK
PX-10758,2026-04-09,"119735,33",OK
PX-10805,2026-04-05,239944.86,OK
PX-10511,2026-05-14,"209484,75",OK
PX-10770,2026-04-25,199480.78,OK
PX-10052,2026-06-07,88276.73,OK
PX-10505,2026-06-21,153453.26,OK
PX-10442,2026-04-06,50573.67,OK
PX-10329,2026-06-18,"126639,11",OK
PX-11103,2026-04-05,216653.09,OK
PX-10389,2026-04-05,243923.65,OK
PX-10777,2026-04-12,69166.40,OK
PX-10545,2026-06-22,"35032,25",OK
PX-10872,2026-04-15,27215.64,FALLIDA
PX-10007,2026-05-02,147283.03,OK
PX-99006,2026-05-07,24549.28,OK
PX-10068,2026-06-10,220271.23,OK
PX-10686,2026-05-21,43034.04,OK
PX-10879,2026-04-14,41830.45,OK
PX-10262,2026-05-30,39825.04,OK
PX-10743,2026-06-10,106846.83,OK
PX-10077,2026-06-27,152568.20,OK
PX-10388,2026-06-24,"196097,88",OK
PX-10427,2026-05-30,205595.61,OK
PX-10200,2026-06-12,171264.97,OK
PX-10600,2026-05-30,"161907,05",OK
PX-10591,2026-05-14,"247990,41",OK
PX-10927,2026-06-25,167091.07,OK
PX-10207,2026-05-27,33560.50,OK
PX-10622,2026-04-20,117826.76,OK
PX-10691,2026-04-29,49620.77,OK
PX-11023,2026-05-04,122726.47,OK
PX-10582,2026-06-03,"189197,58",FALLIDA
PX-10878,2026-06-03,62898.24,FALLIDA
PX-10503,2026-05-01,231677.83,OK
PX-11031,2026-05-21,50501.43,OK
PX-10871,2026-05-04,233776.49,OK
PX-10384,2026-04-18,111925.42,OK
PX-10230,2026-05-28,110047.93,OK
PX-10625,2026-06-14,104396.54,FALLIDA
PX-10987,2026-06-11,103101.66,OK
PX-10474,2026-06-18,"87737,69",OK
PX-10745,2026-06-01,213583.53,FALLIDA
PX-11067,2026-05-08,"7487,17",OK
PX-11122,2026-04-16,193041.18,OK
PX-10396,2026-05-06,99770.93,OK
PX-10254,2026-05-30,82161.58,OK
PX-10473,2026-04-30,29992.68,OK
PX-10321,2026-06-24,104997.03,OK
PX-10828,2026-04-15,"25883,20",OK
PX-10392,2026-05-04,139878.36,OK
PX-10533,2026-05-29,231252.91,OK
PX-10988,2026-05-05,"159248,42",OK
PX-10937,2026-05-27,"142503,53",OK
PX-10660,2026-04-10,"147265,74",OK
PX-11102,2026-06-22,"44750,92",OK
PX-11009,2026-05-12,"128170,46",OK
PX-10488,2026-04-07,176317.06,OK
PX-10950,2026-05-15,230713.32,OK
PX-10718,2026-04-05,"47079,68",FALLIDA
PX-10158,2026-06-28,"66749,84",FALLIDA
PX-10859,2026-06-18,4039.60,FALLIDA
PX-10211,2026-05-02,114736.48,OK
PX-11143,2026-04-24,182302.45,OK
PX-10354,2026-05-19,118759.93,OK
PX-10677,2026-06-04,79924.94,OK
PX-10082,2026-06-19,157247.90,OK
PX-10467,2026-04-07,168186.58,OK
PX-10671,2026-06-06,30510.65,OK
PX-10845,2026-05-30,238228.16,OK
PX-10073,2026-05-19,124084.50,OK
PX-11007,2026-04-20,44992.15,OK
PX-10170,2026-04-01,188562.28,OK
PX-10732,2026-06-27,199332.58,OK
PX-10834,2026-04-19,93235.22,OK
PX-10793,2026-06-26,"46184,58",OK
PX-10509,2026-05-06,185486.58,FALLIDA
PX-10050,2026-06-06,122400.17,OK
PX-10651,2026-04-30,229546.00,FALLIDA
PX-11029,2026-04-06,105536.00,FALLIDA
PX-10023,2026-05-27,28412.53,OK
PX-10437,2026-06-04,"196698,89",OK
PX-10463,2026-04-24,1381.46,OK
PX-99001,2026-05-02,11792.51,OK
PX-10002,no-es-fecha,1500.00,OK
PX-10709,2026-06-19,"108410,16",OK
PX-10483,2026-06-27,116985.54,OK
PX-10846,2026-04-21,112146.31,OK
PX-11034,2026-04-23,125613.25,OK
PX-10907,2026-05-31,142033.05,OK
PX-10636,2026-04-17,204084.07,OK
PX-10462,2026-04-21,105185.63,OK
PX-11130,2026-04-27,185305.84,OK
PX-10652,2026-05-17,179547.62,OK
PX-11026,2026-04-24,93384.55,OK
PX-10811,2026-05-24,"45847,03",OK
PX-10448,2026-05-01,227478.98,OK
PX-10683,2026-04-23,190735.08,OK
PX-10357,2026-06-22,55586.60,OK
PX-10064,2026-06-26,117889.96,FALLIDA
PX-10227,2026-06-02,138950.69,OK
PX-11081,2026-05-21,81757.47,OK
PX-10645,2026-05-09,"249815,68",OK
PX-10512,2026-05-27,144650.47,OK
PX-10167,2026-06-03,68572.85,OK
PX-10137,2026-06-11,176157.43,FALLIDA
PX-11051,2026-05-15,53054.03,OK
PX-10675,2026-04-08,178468.51,OK
PX-10904,2026-04-24,184903.15,OK
PX-10948,2026-04-05,238284.72,OK
PX-11028,2026-05-26,"63517,41",OK
PX-10915,2026-05-05,146513.60,OK
PX-10375,2026-05-19,50985.96,OK
PX-10956,2026-05-06,57241.02,FALLIDA
PX-10792,2026-06-24,13689.72,FALLIDA
PX-10368,2026-05-17,220447.22,OK
PX-10421,2026-04-24,69193.45,FALLIDA
PX-10870,2026-06-13,244350.22,FALLIDA
PX-10643,2026-06-23,200038.89,OK
PX-10325,2026-06-22,238794.74,FALLIDA
PX-11035,2026-06-22,11539.85,OK
PX-10844,2026-06-04,119499.78,OK
PX-10896,2026-06-24,173893.78,OK
PX-10605,2026-05-03,175054.62,OK
PX-10574,2026-04-27,19894.96,OK
PX-10206,2026-05-05,185043.99,OK
PX-10444,2026-05-19,121423.21,OK
PX-10367,2026-06-01,58321.61,OK
PX-10785,2026-06-08,248842.14,OK
PX-10742,2026-04-09,158774.56,OK
PX-10862,2026-04-27,92778.98,OK
PX-11072,2026-06-08,242624.09,OK
PX-10667,2026-06-04,166971.58,FALLIDA
PX-10101,2026-06-29,2023.39,OK
PX-10847,2026-06-03,"233546,96",OK
PX-10897,2026-05-28,47394.39,OK
PX-10992,2026-04-05,163991.35,OK
PX-10727,2026-06-02,178538.59,OK
PX-10366,2026-06-05,141706.14,FALLIDA
PX-11042,2026-05-14,135915.75,OK
PX-11076,2026-06-15,248063.30,OK
PX-10222,2026-06-26,"129240,48",OK
PX-10674,2026-06-09,64260.85,OK
PX-10403,2026-04-21,163426.77,OK
PX-10481,2026-06-04,183244.05,OK
PX-10487,2026-05-10,13156.18,FALLIDA
PX-10221,2026-06-29,11648.42,OK
PX-10848,2026-04-18,91186.29,OK
PX-11085,2026-04-26,214172.66,OK
PX-10419,2026-06-02,201478.58,OK
PX-10359,2026-05-13,25461.24,FALLIDA
PX-10307,2026-06-25,210239.35,OK
PX-10833,2026-05-08,61003.10,OK
PX-10306,2026-05-22,86120.18,OK
PX-10986,2026-05-30,"174393,66",OK
PX-10925,2026-05-01,214898.82,OK
PX-10990,2026-04-03,228101.03,OK
PX-10835,2026-04-24,117811.03,OK
PX-10801,2026-05-15,2711.50,OK
PX-10276,2026-04-05,160091.87,OK
PX-10606,2026-05-06,205430.66,FALLIDA
PX-10157,2026-05-09,83144.28,OK
PX-11053,2026-06-08,24696.47,FALLIDA
PX-10919,2026-05-24,"239394,19",OK
PX-10446,2026-05-03,236062.11,OK
PX-10274,2026-06-03,9971.95,FALLIDA
PX-10524,2026-06-06,185392.35,OK
PX-10880,2026-05-25,"155916,29",OK
PX-10379,2026-06-29,64002.25,FALLIDA
PX-10037,2026-04-01,44383.73,OK
PX-10570,2026-05-12,68229.01,OK
PX-10957,2026-04-15,145182.73,OK
PX-10694,2026-05-22,58661.44,OK
PX-10178,2026-05-28,163556.76,OK
PX-10798,2026-04-15,208015.74,FALLIDA
PX-10428,2026-04-06,19944.88,OK
PX-10806,2026-06-27,125713.72,OK
PX-10529,2026-06-28,"36200,42",OK
PX-10775,2026-05-19,231533.34,FALLIDA
PX-10585,2026-06-26,"190162,78",OK
PX-11078,2026-06-26,28311.78,OK
PX-10616,2026-06-07,206900.73,OK
PX-10471,2026-06-01,"107049,87",OK
PX-99003,2026-05-04,7615.91,OK
PX-10562,2026-05-25,"208960,13",OK
PX-10286,2026-06-13,99003.69,OK
PX-10212,2026-05-19,"203961,13",FALLIDA
PX-11055,2026-06-20,125825.02,OK
PX-10958,2026-05-04,"135340,12",OK
PX-10468,2026-04-23,232904.21,OK
PX-10654,2026-06-24,221502.82,FALLIDA
PX-10236,2026-06-28,145697.91,OK
PX-10159,2026-04-08,140441.25,OK
PX-10331,2026-06-28,26336.71,OK
PX-10249,2026-04-12,77667.87,OK
PX-10795,2026-04-12,236144.30,OK
PX-10635,2026-05-14,186883.82,FALLIDA
PX-10097,2026-04-09,108253.19,OK
PX-10477,2026-06-27,"17020,15",FALLIDA
PX-10492,2026-05-09,"60024,54",OK
PX-10810,2026-05-14,161146.35,OK
PX-10689,2026-06-27,129555.60,FALLIDA
PX-10540,2026-05-23,60146.07,OK
PX-10404,2026-05-17,103802.77,OK
PX-10580,2026-05-29,56855.42,FALLIDA
PX-10516,2026-06-26,103106.57,OK
PX-10763,2026-04-03,242414.60,OK
PX-10030,2026-04-06,91373.26,OK
PX-10963,2026-05-17,228701.56,OK
PX-10510,2026-05-28,195740.66,OK
PX-10940,2026-04-08,133779.37,OK
PX-10501,2026-04-18,223448.83,FALLIDA
PX-10019,2026-04-13,33547.91,OK
PX-10786,2026-06-22,205481.17,OK
PX-10430,2026-05-12,206625.67,OK
